candidate,votes,election_day,absentee,provisional
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,611,583,27,1
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,251,240,10,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0011-01,,,,
,,,,
0011 BUTLER TOWNSHIP 2,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,804,,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,421,409,12,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,94,89,5,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,108,106,2,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,2,2,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",211,202,9,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,189,187,2,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,2,1,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",9,9,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,228,219,9,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,182,180,2,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,1,0,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,8,8,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,205,196,9,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,206,203,3,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,9,9,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,260,256,4,0
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,107,104,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0012-01,,,,
,,,,
0012 BUTLER TOWNSHIP 3,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,810,,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,553,533,18,2
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,100,97,3,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,192,186,6,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,1,1,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",233,224,8,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,309,298,10,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,3,3,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",5,5,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,238,231,6,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,300,289,10,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,3,3,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,6,6,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,200,191,8,1
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,346,336,10,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,4,4,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,378,366,11,1
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,106,103,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0013-01,,,,
,,,,
0013 BUTLER TOWNSHIP 4,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,088",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,502","1,455",47,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,164,158,6,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,491,472,19,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,9,9,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",590,571,19,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,860,834,26,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,9,9,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",24,24,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,636,617,19,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,826,801,25,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,4,4,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,26,26,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,558,540,18,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,915,887,28,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,19,19,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,"1,030",997,33,0
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,397,390,7,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0014-01,,,,
,,,,
0014 BUTLER TOWNSHIP 5,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,496",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,954,927,24,3
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,157,151,6,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,301,293,8,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,4,4,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",420,406,13,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,498,485,11,2
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,6,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",11,11,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,444,434,9,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,485,471,12,2
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,4,2,2,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,13,12,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,385,373,10,2
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,553,538,14,1
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,9,9,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,639,621,16,2
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,212,207,5,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0015-01,,,,
,,,,
0015 BUTLER TOWNSHIP 6N,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,305",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,886,845,41,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,166,148,18,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,282,274,8,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,2,2,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",392,362,30,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,459,448,11,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,7,7,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",16,16,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,415,384,31,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,444,434,10,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,5,5,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,15,15,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,361,336,25,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,508,492,16,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,11,11,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,581,558,23,0
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,193,185,8,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0016-01,,,,
,,,,
0016 BUTLER TOWNSHIP 6S,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,550",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,025",973,49,3
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,124,111,13,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,360,348,11,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,4,4,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",399,374,25,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,599,573,23,3
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,5,5,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",12,11,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,439,413,26,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,568,543,22,3
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,5,5,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,10,9,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,370,347,22,1
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,644,615,27,2
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,10,10,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,721,690,28,3
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,235,228,7,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,4,2,2,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0017-01,,,,
,,,,
0017 CENTER TOWNSHIP 1,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,049",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,313","1,248",62,3
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,215,200,15,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,452,429,23,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,5,4,0,1
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",517,486,30,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,762,730,32,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,6,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",16,14,0,2
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,561,526,34,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,724,695,28,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,11,11,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,12,11,0,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,481,448,31,2
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,806,775,31,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,17,16,0,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 8TH LE,GISLATI,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
LISA BOEVING-LEARNED (DEM).  .  .  .  .  .,467,438,28,1
TEDD NESBIT (REP).  .  .  .  .  .  .  .  .,826,792,33,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0018-01,,,,
,,,,
0018 CENTER TOWNSHIP 2,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,992",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,355","1,300",55,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,239,225,14,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,460,442,18,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,4,4,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,4,4,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",511,486,25,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,811,783,28,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,8,8,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",12,12,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,551,525,26,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,775,749,26,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,6,6,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,18,17,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,466,440,26,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,862,833,29,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,14,14,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 8TH LE,GISLATI,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
LISA BOEVING-LEARNED (DEM).  .  .  .  .  .,457,432,25,0
TEDD NESBIT (REP).  .  .  .  .  .  .  .  .,876,849,27,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0019-01,,,,
,,,,
0019 CENTER TOWNSHIP 3,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,833",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,180","1,139",40,1
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,166,158,8,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,456,439,16,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",433,416,17,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,710,687,22,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,3,3,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",22,21,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,448,430,18,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,704,681,22,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,4,4,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,22,22,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,388,374,14,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,769,742,26,1
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,16,16,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 8TH LE,GISLATI,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
LISA BOEVING-LEARNED (DEM).  .  .  .  .  .,379,367,12,0
TEDD NESBIT (REP).  .  .  .  .  .  .  .  .,793,765,27,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0020-01,,,,
,,,,
0020 CHERRY TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,720,,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,448,436,12,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,83,79,4,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,174,170,4,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",139,134,5,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,292,285,7,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,6,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",7,7,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,144,139,5,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,292,285,7,0
